"year","num","15-29silup","30-59silup","60_silup","avg_sil"
"2000",34433,8.1,4.6,3.6,5.4
"2001",30494,8.3,3.7,3.4,4.7
"2002",26775,8,2.9,3.1,4
"2003",26832,8.8,3.1,2.3,4.4
"2004",25092,8.2,3.4,3.2,4.5
"2005",23026,8.3,3.5,3.5,4.6
"2006",23711,9.2,3.1,2.7,4.4
"2007",26712,8.3,3.1,2.4,4.1
"2008",25365,7.7,3,2.5,3.9
"2009",24379,8.2,3.7,3.7,4.6
"2010",25752,8.5,4.2,4.8,5.1
"2011",26118,10,3.5,4.5,4.8
"2012",27781,10.4,3.1,4.4,4.5
"2013",25560,9.3,3.2,3,4.2
"2014",25786,12.1,3.1,3.9,4.7
"2015",25491,11.9,3.5,5.2,5.1
"2016",23609,11.5,3.1,6.2,4.9
"2017",20445,10.6,3.2,4.8,4.7
